sentence,label,label_idx
Do booster shots have side effects worsen than the second shot ?,Are booster shot side effects worse than those from the second shot?,175
the vaccine has side effects?,Are booster shot side effects worse than those from the second shot?,175
booster vaccine leaves worse side effects than first and second doses,Are booster shot side effects worse than those from the second shot?,175
are reinforcements safe?,Are booster shot side effects worse than those from the second shot?,175
because the second dose of the covid-19 vaccine is higher in side effects,Are booster shot side effects worse than those from the second shot?,175
really the side effects are worse after the first injection?,Are booster shot side effects worse than those from the second shot?,175
Will the second injection have fewer effects than the side effects of the vaccine?,Are booster shot side effects worse than those from the second shot?,175
because the second dose of the vaccine causes more side effects in people,Are booster shot side effects worse than those from the second shot?,175
Are the side effects of the booster worse than those of the second,Are booster shot side effects worse than those from the second shot?,175
Does the booster have stronger side effects?,Are booster shot side effects worse than those from the second shot?,175
Is shot  side effects dangerouse more than the second shot ?,Are booster shot side effects worse than those from the second shot?,175
Is it actually bosster shot  side effects dangerouse more than the second shot ?,Are booster shot side effects worse than those from the second shot?,175
Are booster shot side effects worse than those from the second shot?,Are booster shot side effects worse than those from the second shot?,175
What is the risk of getting a booster vaccine?,Are booster shot side effects worse than those from the second shot?,175
The reinforcement is softer than the dose of covid 19?,Are booster shot side effects worse than those from the second shot?,175
"I had a really high fever after my second shot, is the booster going to make me feel even worse?",Are booster shot side effects worse than those from the second shot?,175
the booster of the vaccine is worse than the first and second doses since it leaves stronger side effects,Are booster shot side effects worse than those from the second shot?,175
the second dose of the vaccine has worse side effects than the first,Are booster shot side effects worse than those from the second shot?,175
You should stay ok if you are careful,Are regular safety measures enough to stay healthy?,20
standard safety measures are enough for you stay safe,Are regular safety measures enough to stay healthy?,20
Following the essential rules is enough to maintain safety and health,Are regular safety measures enough to stay healthy?,20
The means already used are has the same effectiveness to stay healthy,Are regular safety measures enough to stay healthy?,20
"To maintain good health, are these security measures enough?",Are regular safety measures enough to stay healthy?,20
Im sure if you just stay healthy you will be ok,Are regular safety measures enough to stay healthy?,20
"In addition to protection measures, it is necessary to raise people's awareness",Are regular safety measures enough to stay healthy?,20
Adhering to basic precaution is enough to stay healthy .,Are regular safety measures enough to stay healthy?,20
Is wearing a mask the only adequate protection?,Are regular safety measures enough to stay healthy?,20
Stay home as much as possible and use social distancing to stay safe and healthy.,Are regular safety measures enough to stay healthy?,20
"The virus is not so dangerous either, just taking the correct security measures is enough.",Are regular safety measures enough to stay healthy?,20
regular safety measures are enough to stay healthy good,Are regular safety measures enough to stay healthy?,20
"Wearing my mask out in public, keeping six feet away from people and doing other regular safety measures should be enough for me to stay healthy.",Are regular safety measures enough to stay healthy?,20
We can stop the spread of Covid by practicing social distancing and wearing masks,Are regular safety measures enough to stay healthy?,20
Just following the biosecurity rules is enough to stay healthy,Are regular safety measures enough to stay healthy?,20
Are regular safety measures enough to prevent from getting COVID-19?,Are regular safety measures enough to stay healthy?,20
the safety measures are sufficient to avoid covid,Are regular safety measures enough to stay healthy?,20
It is enough to follow the hygiene rules to be sure,Are regular safety measures enough to stay healthy?,20
Do I really need the COVID-19 vaccine or will regular safety measures keep me healthy?,Are regular safety measures enough to stay healthy?,20
Are regular safety measures enough to stay healthy?,Are regular safety measures enough to stay healthy?,20
Regular means are enough to stay healthy,Are regular safety measures enough to stay healthy?,20
what are the safety measures  to be safe,Are regular safety measures enough to stay healthy?,20
Security measures for humanitarian health are not yet lacking,Are regular safety measures enough to stay healthy?,20
I do not know anyone who got sick.  If I follow the safety measures we are doing so far isn't that enough,Are regular safety measures enough to stay healthy?,20
What are the most competent biosecurity measures?,Are regular safety measures enough to stay healthy?,20
security measures are not enough for this pandemic,Are regular safety measures enough to stay healthy?,20
the measures we have been taking are enough to keep us safe,Are regular safety measures enough to stay healthy?,20
"No, you need to follow all the Biosafety recomendations to be sure",Are regular safety measures enough to stay healthy?,20
You can stay healthy by using safe measures.,Are regular safety measures enough to stay healthy?,20
Following guidelines should keep you safe,Are regular safety measures enough to stay healthy?,20
If I wash may hands regularly wont that keep me safe from Covid?,Are regular safety measures enough to stay healthy?,20
regular measures are enough to keep us safe,Are regular safety measures enough to stay healthy?,20
The actions we take are enough to keep the pandemic under control,Are regular safety measures enough to stay healthy?,20
will the safey measures be enough to stay in good shape?,Are regular safety measures enough to stay healthy?,20
"If I don't get vaccinated but follow the regular measures, will I be sure?",Are regular safety measures enough to stay healthy?,20
Safe distancing measures should be sufficient to prevent the spread of Covid,Are regular safety measures enough to stay healthy?,20
